video_id,title,published_at,thumbnail_url,members
"2m7vpDsFpuo","The Greatest Samurai Adventure!✨⚔️【Ghost of Yōtei】Blind Playthrough!","2025-10-03T21:35:14Z","https://i.ytimg.com/vi/2m7vpDsFpuo/maxresdefault.jpg","false"
"2xWCNFqBgSc","The Amazing Pokémon Adventure!✨【Pokémon Pokopia】 I never want it to stop~","2026-03-13T23:58:46Z","https://i.ytimg.com/vi/2xWCNFqBgSc/maxresdefault.jpg","false"
"37ZXhqim_RQ","A Grand New Monster Hunting Adventure!✨Playing w/Viewers!【Monster Hunter Rise: Sunbreak】","2025-10-25T14:28:40Z","https://i.ytimg.com/vi/37ZXhqim_RQ/maxresdefault.jpg","false"
"3EkfoVI3txQ","I'm Addicted to Pokopia!✨【Pokémon Pokopia】 Completely Blind Playthrough!","2026-03-12T23:28:12Z","https://i.ytimg.com/vi/3EkfoVI3txQ/maxresdefault.jpg","false"
"3JuM-QnZ_p8","What's the Best Home Alone movie?!✨【WATCHALONG】...I don't care! We're watching Home Alone 3!!","2025-12-27T00:43:14Z","https://i.ytimg.com/vi/3JuM-QnZ_p8/maxresdefault.jpg","false"
"3hwZD8sZ4Ds","Watching Raiders of the Lost Ark!✨【WATCHALONG】My first Indiana Jones movie!","2026-04-11T22:35:43Z","https://i.ytimg.com/vi/3hwZD8sZ4Ds/maxresdefault.jpg","false"
"3rtY-5becuk","#asmr  Pokémon God Pack opening!","2025-09-23T10:00:06Z","https://i.ytimg.com/vi/3rtY-5becuk/maxresdefault.jpg","false"
"3ve__cUdguw","Plamo Building!✨ Building A Ship Model From One Piece⚓【Handcam】","2025-08-10T21:57:22Z","https://i.ytimg.com/vi/3ve__cUdguw/maxresdefault.jpg","false"
"3xxLQTjrVRU","First Time Playing!✨Trying to Beat the Game in One Week! 【Satisfactory】","2025-11-26T00:01:22Z","https://i.ytimg.com/vi/3xxLQTjrVRU/maxresdefault.jpg","false"
"3ype_hh14Co","The seductive flaminGO","2026-05-24T12:00:07Z","https://i.ytimg.com/vi/3ype_hh14Co/maxresdefault.jpg","false"
"4C80CB7NoF4","VTuber Calls You Baka Non-Stop 【ASMR】","2026-04-29T18:30:06Z","https://i.ytimg.com/vi/4C80CB7NoF4/maxresdefault.jpg","false"
"4FjYDXk9JH0","New Years Party!🎉🎇 Come hang out with me! & ANNOUNCEMENT","2025-12-31T21:53:38Z","https://i.ytimg.com/vi/4FjYDXk9JH0/maxresdefault.jpg","false"
"4Mf_Qkp7-3M","Did you just MEOW at me sir?!","2026-02-11T15:30:02Z","https://i.ytimg.com/vi/4Mf_Qkp7-3M/maxresdefault.jpg","false"
"4YIPYiwmK18","Are you ready for fun & chaotic 3D chatting~?!🦆✨【3D Zatsu】","2026-07-26T19:23:55Z","https://i.ytimg.com/vi/4YIPYiwmK18/maxresdefault.jpg","false"
"56hzkJl9qEc","Pokopia might be too good!?","2026-03-24T15:00:06Z","https://i.ytimg.com/vi/56hzkJl9qEc/maxresdefault.jpg","false"
"5CYq7g6pNa4","Opening AMAZING Detective TCG Cards!✨Detective Conan Booster Box opening!【Handcam】& Cozy Knitting🧶","2026-08-10T20:57:59Z","https://i.ytimg.com/vi/5CYq7g6pNa4/maxresdefault.jpg","false"
"5IEvRmRN5bo","Extremely Cute Cards!✨ Unboxing A Cardfight Vanguard Booster Box!【Handcam】& Cozy Chatting💓🦆","2025-08-18T21:08:13Z","https://i.ytimg.com/vi/5IEvRmRN5bo/maxresdefault.jpg","false"
"5T3yWOAETF8","How deep can you go?!😱 Let's find out!!【Subnautica 2】Blind playthrough!","2026-05-22T21:37:17Z","https://i.ytimg.com/vi/5T3yWOAETF8/maxresdefault.jpg","false"
"5TyVulbaNDg","Farming time!✨🌽Cooking & getting more Animals for the Farm!【Minecraft - VSMP 2: Farm Life】","2026-02-11T23:12:52Z","https://i.ytimg.com/vi/5TyVulbaNDg/maxresdefault.jpg","false"
"5rW1cEwo4Ys","This New Game Is AMAZING!!✨ Let's Find Out Where The Mystery Takes Us!【Arctic Awakening】","2025-09-18T22:24:24Z","https://i.ytimg.com/vi/5rW1cEwo4Ys/maxresdefault.jpg","false"
"68MmUJoizKU","Playing Metal Gear Solid like it's Dark Souls!","2026-02-06T15:30:03Z","https://i.ytimg.com/vi/68MmUJoizKU/maxresdefault.jpg","false"
"69cOKl8srwE","First Time Playing this Absolutely Amazing Game!✨【Clair Obscur: Expedition 33】Blind Playthrough!","2025-11-09T21:03:21Z","https://i.ytimg.com/vi/69cOKl8srwE/maxresdefault.jpg","false"
"6SLqT43ZSno","Opening a Collectors Booster Box of MTG Lorwyn Eclipsed✨🤯Is is worth it?!【Handcam】& Cozy Knitting🧶","2026-02-09T21:40:33Z","https://i.ytimg.com/vi/6SLqT43ZSno/maxresdefault.jpg","false"
"6gf6qCFu0fw","Unboxing a NIKKE Booster Box!✨Trying to pull a 1000+ USD Card!【Handcam】& Cozy Knitting🧶","2026-01-12T21:01:56Z","https://i.ytimg.com/vi/6gf6qCFu0fw/maxresdefault.jpg","false"
"6gjq_XB-ioI","Completely Blind Playthrough! - Part 1✨【Metal Gear Solid Delta: Snake Eater】First Metal Gear Game!","2025-08-26T22:05:07Z","https://i.ytimg.com/vi/6gjq_XB-ioI/maxresdefault.jpg","false"
"6iGfWX8gAJM","Dragging three of my friends along to try Multiplayer for the FIRST TIME!【PvZ Garden Warfare 2】","2026-08-18T23:50:58Z","https://i.ytimg.com/vi/6iGfWX8gAJM/maxresdefault.jpg","false"
"6kfZpVbClq0","Can You Learn Japanese Through Gaming? Let's Find Out!✨【Shujinkou】","2025-11-02T15:29:25Z","https://i.ytimg.com/vi/6kfZpVbClq0/maxresdefault.jpg","false"
"6lVW7qgWXl0","It's a brand new Adventure!✨Let's play the new Yoshi Game!【Yoshi and the Mysterious Book】","2026-05-21T22:08:03Z","https://i.ytimg.com/vi/6lVW7qgWXl0/maxresdefault.jpg","false"
